State,Area_Name,Rural_Urban_Continuum_Code_2003,Rural_Urban_Continuum_Code_2013,Urban_Influence_2003,Urban_Influence_2013,Economic_typology_2015,CENSUS_2020_POP,ESTIMATES_BASE_2020,POP_ESTIMATE_2020,POP_ESTIMATE_2021,POP_ESTIMATE_2022,N_POP_CHG_2020,N_POP_CHG_2021,N_POP_CHG_2022
AR,White County,4,4,5,5,0,"76,822","76,822","76,851","77,157","77,755",29,306,598
AR,Woodruff County,9,9,9,10,0,"6,269","6,276","6,228","6,153","6,049",-48,-75,-104
AR,Yell County,6,6,5,5,3,"20,263","20,259","20,214","20,152","20,129",-45,-62,-23
CA,California,,,,,,"39,538,223","39,538,245","39,501,653","39,142,991","39,029,342","-36,592","-358,662","-113,649"
CA,Alameda County,1,1,1,1,0,"1,682,353","1,682,331","1,680,380","1,643,837","1,628,997","-1,951","-36,543","-14,840"
CA,Alpine County,8,8,4,4,5,"1,204","1,201","1,204","1,235","1,190",3,31,-45
CA,Amador County,6,6,4,4,4,"40,474","40,474","40,532","41,144","41,412",58,612,268
CA,Butte County,3,3,2,2,0,"211,632","211,631","210,135","206,190","207,303","-1,496","-3,945","1,113"
CA,Calaveras County,6,6,6,6,5,"45,292","45,285","45,346","46,219","46,563",61,873,344
CA,Colusa County,6,6,4,4,1,"21,839","21,837","21,858","21,913","21,914",21,55,1
CA,Contra Costa County,1,1,1,1,0,"1,165,927","1,165,927","1,165,986","1,163,298","1,156,966",59,"-2,688","-6,332"
CA,Del Norte County,7,7,8,8,4,"27,743","27,745","27,601","27,553","27,082",-144,-48,-471
CA,El Dorado County,1,1,1,1,5,"191,185","191,184","191,220","193,590","192,646",36,"2,370",-944
CA,Fresno County,2,2,2,2,0,"1,008,654","1,008,650","1,009,503","1,012,992","1,015,190",853,"3,489","2,198"
CA,Glenn County,6,6,6,6,1,"28,917","28,915","28,896","28,664","28,339",-19,-232,-325
CA,Humboldt County,5,5,8,8,0,"136,463","136,465","136,261","134,836","135,010",-204,"-1,425",174
CA,Imperial County,3,3,2,2,4,"179,702","179,709","179,595","179,215","178,713",-114,-380,-502
CA,Inyo County,7,7,8,11,5,"19,016","19,025","19,001","18,927","18,718",-24,-74,-209
CA,Kern County,2,2,2,2,0,"909,235","909,244","905,828","912,351","916,108","-3,416","6,523","3,757"
CA,Kings County,3,3,2,2,4,"152,486","152,488","152,790","152,679","152,981",302,-111,302
CA,Lake County,4,4,5,5,0,"68,163","68,158","68,195","68,584","68,191",37,389,-393
CA,Lassen County,6,7,6,8,4,"32,730","32,730","32,317","31,813","29,904",-413,-504,"-1,909"
CA,Los Angeles County,1,1,1,1,0,"10,014,009","10,014,042","9,992,236","9,811,842","9,721,138","-21,806","-180,394","-90,704"
CA,Madera County,3,3,2,2,0,"156,255","156,259","156,343","158,910","160,256",84,"2,567","1,346"
CA,Marin County,1,1,1,1,5,"262,321","262,318","261,282","259,162","256,018","-1,036","-2,120","-3,144"
CA,Mariposa County,8,8,7,7,5,"17,131","17,128","17,118","17,107","17,020",-10,-11,-87
CA,Mendocino County,4,4,5,5,5,"91,601","91,595","91,361","91,003","89,783",-234,-358,"-1,220"
CA,Merced County,3,2,2,2,0,"281,202","281,202","281,814","284,458","290,014",612,"2,644","5,556"
