fid,state
2292,MD
2293,MD
2294,MD
2295,MD
2296,MD
2297,MD
2298,MD
2299,MD
2300,MD
2301,MD
2302,MD
2303,MD
2304,MD
2305,MD
2306,MD
2307,MD
2308,MD
2309,MD
2310,MD
2311,MD
2312,MD
2313,MD
2314,MD
2315,VA
2316,MD
2317,VA
2318,VA
2319,MD
2320,MD
2321,VA
2322,VA
2323,VA
2324,VA
2325,VA
2326,VA
2327,VA
2328,VA
2329,VA
2330,VA
2331,VA
2332,VA
2333,VA
2334,VA
2335,VA
2336,VA
2337,VA
2338,VA
2339,VA
2340,VA
2341,VA
2342,VA
2343,VA
2344,VA
2345,VA
2346,VA
2347,VA
2348,VA
2349,VA
2350,VA
2351,VA
2352,VA
2353,VA
2354,VA
2355,VA
2356,VA
2357,VA
2358,VA
2359,VA
2360,VA
2361,VA
2362,VA
2363,VA
2364,VA
2365,VA
2366,VA
2367,VA
2368,VA
2369,VA
2370,VA
2371,VA
2372,VA
2373,VA
2374,VA
2375,VA
2376,VA
2377,VA
2378,VA
2379,VA
2380,VA
2381,VA
2382,VA
2383,VA
2384,VA
2385,VA
2386,VA
2387,VA
2388,VA
2389,VA
2390,VA
2391,VA
2392,VA
2393,VA
2394,VA
2395,VA
2396,VA
2397,VA
2398,VA
2399,WV
2400,MD
2401,MD
2402,MD
2403,MD
2404,MD
2405,WV
2406,MD
2407,VA
2408,VA
2409,VA
2410,VA
2411,VA
2412,VA
2413,VA
2414,VA
2415,VA
2416,WV
2417,MD
2418,VA
2419,VA
2420,VA
2421,VA
2422,MD
2423,MD
2424,MD
2425,MD
2426,MD
2427,MD
2428,MD
2429,MD
2430,MD
2431,MD
2432,MD
2433,VA
2434,VA
2435,VA
2436,VA
2437,MD
2438,MD
2439,MD
2440,MD
2441,MD
2442,MD
2443,MD
2444,MD
2445,MD
2446,MD
2447,MD
2448,MD
2449,VA
2450,VA
2451,MD
2452,MD
